Outage_ID,Region,Start_Time,Duration_Hours,End_Time,Cause,Customers_Affected,Weather_Condition
1358,Birmingham,2024-10-11 05:01:00,1.84,2024-10-11 06:51:24.000000000,Equipment Failure,3172,Heavy Rain
1359,Rural North,2024-03-16 18:29:00,4.39,2024-03-16 22:52:24.000000000,Other,4231,Heavy Rain
1360,Huntsville,2024-01-26 23:40:00,2.69,2024-01-27 02:21:24.000000000,Weather,3995,High Wind
1361,Mobile,2024-05-10 21:16:00,1.12,2024-05-10 22:23:12.000000000,Weather,1279,Heavy Rain
1362,Montgomery,2024-01-16 08:52:00,15.57,2024-01-17 00:26:11.999999999,Weather,4716,Heatwave
1363,Montgomery,2023-11-02 12:48:00,0.12,2023-11-02 12:55:12.000000000,Wildlife,1304,Heatwave
1364,Mobile,2024-11-03 23:24:00,0.53,2024-11-03 23:55:48.000000000,Equipment Failure,1019,Heavy Rain
1365,Huntsville,2024-05-27 07:23:00,6.69,2024-05-27 14:04:24.000000000,Weather,2101,Heatwave
1366,Huntsville,2023-07-07 17:36:00,0.19,2023-07-07 17:47:24.000000000,Wildlife,1767,High Wind
1367,Rural North,2024-05-30 04:19:00,6.54,2024-05-30 10:51:24.000000000,Wildlife,1974,Clear
1368,Rural North,2024-10-05 20:57:00,3.77,2024-10-06 00:43:12.000000000,Wildlife,4653,Heatwave
1369,Rural South,2024-03-02 22:11:00,0.11,2024-03-02 22:17:36.000000000,Weather,1201,Heatwave
1370,Rural South,2024-05-16 12:18:00,1.68,2024-05-16 13:58:48.000000000,Weather,1063,Ice
1371,Birmingham,2024-12-30 13:15:00,4.21,2024-12-30 17:27:36.000000000,Maintenance,2851,High Wind
1372,Montgomery,2023-09-17 01:09:00,2.62,2023-09-17 03:46:12.000000000,Equipment Failure,2414,Heatwave
1373,Rural North,2024-05-27 23:07:00,8.24,2024-05-28 07:21:24.000000000,Weather,3572,Clear
1374,Huntsville,2023-03-12 16:22:00,6.07,2023-03-12 22:26:12.000000000,Weather,3714,Ice
1375,Mobile,2024-04-22 08:00:00,1.21,2024-04-22 09:12:36.000000000,Other,1832,Heavy Rain
1376,Huntsville,2023-06-27 19:27:00,0.27,2023-06-27 19:43:12.000000000,Weather,1281,High Wind
1377,Montgomery,2024-04-01 00:23:00,8.66,2024-04-01 09:02:36.000000000,Maintenance,1729,Heatwave
1378,Rural South,2023-07-08 16:04:00,2.18,2023-07-08 18:14:48.000000000,Equipment Failure,262,Heavy Rain
1379,Huntsville,2023-10-18 12:25:00,0.23,2023-10-18 12:38:48.000000000,Maintenance,2778,High Wind
1380,Birmingham,2024-06-03 14:04:00,5.09,2024-06-03 19:09:24.000000000,Maintenance,1569,Ice
1381,Montgomery,2023-10-19 19:58:00,6.09,2023-10-20 02:03:24.000000000,Equipment Failure,746,Heatwave
1382,Rural South,2024-09-26 05:24:00,3.06,2024-09-26 08:27:36.000000000,Weather,1938,Clear
1383,Mobile,2023-10-10 22:51:00,1.78,2023-10-11 00:37:48.000000000,Maintenance,2200,High Wind
1384,Rural South,2024-06-27 13:17:00,3.26,2024-06-27 16:32:36.000000000,Weather,1012,Clear
1385,Birmingham,2024-01-12 00:17:00,3.68,2024-01-12 03:57:48.000000000,Maintenance,2995,Heavy Rain
1386,Montgomery,2024-10-19 00:43:00,6.71,2024-10-19 07:25:36.000000000,Maintenance,1932,Heavy Rain
1387,Mobile,2023-06-05 02:34:00,9.36,2023-06-05 11:55:36.000000000,Equipment Failure,3762,Ice
1388,Birmingham,2024-05-22 14:26:00,2.17,2024-05-22 16:36:12.000000000,Weather,4147,Ice
1389,Rural South,2024-02-17 15:21:00,4.81,2024-02-17 20:09:36.000000000,Weather,3712,Storm
1390,Birmingham,2024-06-11 23:20:00,10.02,2024-06-12 09:21:12.000000000,Maintenance,3202,Storm
1391,Montgomery,2023-12-21 12:22:00,0.49,2023-12-21 12:51:24.000000000,Weather,3844,Ice
1392,Rural North,2024-07-12 23:45:00,0.06,2024-07-12 23:48:36.000000000,Other,4448,Heatwave
1393,Birmingham,2023-07-06 03:44:00,6.1,2023-07-06 09:50:00.000000000,Other,4437,Heavy Rain
1394,Birmingham,2023-01-31 03:36:00,0.65,2023-01-31 04:15:00.000000000,Weather,3537,Clear
1395,Rural South,2023-09-17 00:30:00,0.13,2023-09-17 00:37:48.000000000,Weather,350,Ice
1396,Rural South,2024-02-25 18:02:00,0.52,2024-02-25 18:33:12.000000000,Equipment Failure,2398,Heatwave
1397,Mobile,2024-06-12 14:57:00,1.45,2024-06-12 16:24:00.000000000,Other,3497,Clear
1398,Rural South,2024-07-04 22:56:00,0.74,2024-07-04 23:40:24.000000000,Equipment Failure,1710,Storm
1399,Huntsville,2023-10-31 15:34:00,1.09,2023-10-31 16:39:24.000000000,Weather,1243,Clear
1400,Montgomery,2023-02-08 07:24:00,11.1,2023-02-08 18:30:00.000000000,Maintenance,2580,Ice
1401,Montgomery,2024-05-03 20:58:00,3.66,2024-05-04 00:37:36.000000000,Weather,2308,Heavy Rain
1402,Rural North,2024-10-05 18:50:00,3.74,2024-10-05 22:34:24.000000000,Weather,147,Ice
1403,Rural North,2024-06-25 20:14:00,0.3,2024-06-25 20:32:00.000000000,Weather,2808,High Wind
1404,Montgomery,2024-10-31 08:49:00,3.95,2024-10-31 12:46:00.000000000,Equipment Failure,2940,Heatwave
1405,Rural North,2023-10-05 12:17:00,4.03,2023-10-05 16:18:48.000000000,Weather,3930,Heatwave
1406,Mobile,2023-07-22 14:33:00,3.23,2023-07-22 17:46:48.000000000,Equipment Failure,4192,Heatwave
1407,Rural South,2023-03-07 09:25:00,0.78,2023-03-07 10:11:48.000000000,Wildlife,1843,High Wind
1408,Montgomery,2023-04-18 21:08:00,1.65,2023-04-18 22:47:00.000000000,Equipment Failure,2149,High Wind
1409,Rural North,2023-09-25 01:15:00,5.62,2023-09-25 06:52:12.000000000,Maintenance,217,Heavy Rain
1410,Montgomery,2023-08-10 09:06:00,3.33,2023-08-10 12:25:48.000000000,Weather,2243,Heatwave
1411,Huntsville,2024-06-13 04:26:00,3.96,2024-06-13 08:23:36.000000000,Equipment Failure,1860,Ice
1412,Birmingham,2023-03-31 05:16:00,2.66,2023-03-31 07:55:36.000000000,Weather,1697,High Wind
1413,Rural South,2024-11-23 19:04:00,1.79,2024-11-23 20:51:24.000000000,Equipment Failure,2213,Ice
1414,Montgomery,2023-09-12 00:24:00,4.27,2023-09-12 04:40:12.000000000,Weather,2218,Storm
1415,Birmingham,2024-03-30 02:39:00,0.21,2024-03-30 02:51:36.000000000,Weather,860,Heatwave
1416,Rural North,2023-09-10 09:55:00,3.35,2023-09-10 13:16:00.000000000,Weather,2213,High Wind
1417,Birmingham,2023-09-14 18:57:00,17.64,2023-09-15 12:35:24.000000000,Weather,3700,High Wind
1418,Rural South,2024-01-18 14:59:00,4.55,2024-01-18 19:32:00.000000000,Equipment Failure,3365,Heavy Rain
1419,Montgomery,2024-03-17 08:21:00,1.03,2024-03-17 09:22:48.000000000,Equipment Failure,2619,Ice
1420,Huntsville,2024-08-21 19:49:00,0.98,2024-08-21 20:47:48.000000000,Weather,233,Heavy Rain
1421,Rural North,2023-03-31 16:52:00,3.3,2023-03-31 20:10:00.000000000,Maintenance,3784,Heavy Rain
1422,Montgomery,2024-01-25 11:42:00,6.79,2024-01-25 18:29:24.000000000,Equipment Failure,1421,Ice
1423,Rural South,2024-08-04 19:58:00,2.59,2024-08-04 22:33:24.000000000,Equipment Failure,4402,Storm
1424,Rural North,2023-02-13 00:00:00,2.25,2023-02-13 02:15:00.000000000,Wildlife,332,Ice
1425,Mobile,2024-12-12 12:20:00,0.52,2024-12-12 12:51:12.000000000,Weather,1521,Storm
1426,Birmingham,2024-10-25 18:29:00,3.77,2024-10-25 22:15:12.000000000,Weather,2096,Heavy Rain
1427,Rural South,2024-08-20 05:19:00,3.63,2024-08-20 08:56:48.000000000,Equipment Failure,4610,Storm
1428,Mobile,2023-01-19 23:44:00,10.23,2023-01-20 09:57:48.000000000,Other,2297,Heatwave
1429,Montgomery,2023-04-11 06:21:00,1.07,2023-04-11 07:25:12.000000000,Equipment Failure,696,Storm
1430,Huntsville,2024-08-29 22:21:00,4.24,2024-08-30 02:35:24.000000000,Wildlife,2027,Storm
1431,Rural North,2023-12-23 21:13:00,1.71,2023-12-23 22:55:36.000000000,Maintenance,1478,High Wind
1432,Birmingham,2024-06-25 14:57:00,2.45,2024-06-25 17:24:00.000000000,Equipment Failure,3933,High Wind
1433,Rural North,2023-02-02 11:56:00,5.09,2023-02-02 17:01:24.000000000,Equipment Failure,4845,Heavy Rain
1434,Montgomery,2023-08-17 21:19:00,0.75,2023-08-17 22:04:00.000000000,Equipment Failure,1006,Ice
1435,Rural North,2024-06-07 05:06:00,1.26,2024-06-07 06:21:36.000000000,Equipment Failure,2544,Storm
1436,Birmingham,2024-09-21 19:27:00,4.45,2024-09-21 23:54:00.000000000,Equipment Failure,2822,Heatwave
1437,Montgomery,2023-06-04 06:30:00,2.54,2023-06-04 09:02:24.000000000,Maintenance,632,High Wind
1438,Rural North,2024-02-27 19:52:00,0.29,2024-02-27 20:09:23.999999999,Equipment Failure,3834,Ice
1439,Huntsville,2023-09-03 16:29:00,1.69,2023-09-03 18:10:24.000000000,Weather,2793,Heatwave
1440,Rural South,2024-02-09 04:57:00,2.65,2024-02-09 07:36:00.000000000,Maintenance,4403,Storm
1441,Montgomery,2024-06-24 03:52:00,7.21,2024-06-24 11:04:36.000000000,Maintenance,1085,Ice
1442,Rural South,2023-06-10 04:30:00,0.63,2023-06-10 05:07:48.000000000,Other,313,Heatwave
1443,Montgomery,2024-12-02 18:03:00,4.92,2024-12-02 22:58:12.000000000,Equipment Failure,673,Clear
1444,Huntsville,2023-04-27 21:59:00,0.42,2023-04-27 22:24:12.000000000,Weather,2956,Heatwave
1445,Rural South,2023-09-28 20:58:00,0.83,2023-09-28 21:47:48.000000000,Weather,4004,Heatwave
1446,Mobile,2024-11-22 11:16:00,0.84,2024-11-22 12:06:24.000000000,Maintenance,2002,Storm
1447,Birmingham,2024-05-01 11:45:00,6.3,2024-05-01 18:03:00.000000000,Weather,3505,Ice
1448,Mobile,2023-06-21 03:53:00,0.67,2023-06-21 04:33:12.000000000,Other,2704,Storm
1449,Rural North,2023-10-01 23:11:00,4.64,2023-10-02 03:49:24.000000000,Weather,4314,Storm
1450,Huntsville,2023-09-16 14:04:00,1.86,2023-09-16 15:55:36.000000000,Wildlife,3208,Clear
1451,Mobile,2023-05-15 20:55:00,21.01,2023-05-16 17:55:36.000000000,Maintenance,528,Heatwave
1452,Montgomery,2024-11-13 08:10:00,5.48,2024-11-13 13:38:48.000000000,Wildlife,4443,Ice
1453,Rural North,2024-12-22 08:22:00,4.04,2024-12-22 12:24:24.000000000,Weather,1879,Heavy Rain
1454,Rural North,2024-02-26 14:49:00,6.14,2024-02-26 20:57:24.000000000,Equipment Failure,3820,High Wind
1455,Mobile,2024-02-25 09:51:00,3.02,2024-02-25 12:52:12.000000000,Weather,922,Storm
1456,Mobile,2023-07-05 12:25:00,5.57,2023-07-05 17:59:11.999999999,Weather,3944,Storm
1457,Huntsville,2023-12-30 23:24:00,0.91,2023-12-31 00:18:36.000000000,Weather,4912,Storm
1458,Birmingham,2024-08-29 07:07:00,0.31,2024-08-29 07:25:36.000000000,Maintenance,3198,Storm
1459,Mobile,2024-01-13 11:36:00,2.87,2024-01-13 14:28:12.000000000,Weather,1325,High Wind
1460,Mobile,2024-06-06 10:45:00,1.71,2024-06-06 12:27:36.000000000,Other,3238,Heavy Rain
1461,Rural South,2024-08-02 12:11:00,1.67,2024-08-02 13:51:12.000000000,Weather,581,Clear
1462,Montgomery,2024-12-22 13:19:00,2.24,2024-12-22 15:33:24.000000000,Weather,3265,Heavy Rain
1463,Rural South,2023-07-15 06:03:00,1.35,2023-07-15 07:24:00.000000000,Weather,2481,High Wind
1464,Rural South,2023-04-08 03:21:00,2.95,2023-04-08 06:18:00.000000000,Maintenance,107,Ice
1465,Rural North,2024-08-27 14:41:00,0.09,2024-08-27 14:46:24.000000000,Weather,4043,Clear
1466,Birmingham,2023-01-22 02:25:00,10.51,2023-01-22 12:55:36.000000000,Wildlife,1649,Clear
1467,Montgomery,2024-03-25 13:55:00,7.76,2024-03-25 21:40:36.000000000,Equipment Failure,4852,Ice
1468,Huntsville,2023-06-21 10:38:00,8.21,2023-06-21 18:50:36.000000000,Other,4037,Heatwave
1469,Huntsville,2024-01-18 02:14:00,1.36,2024-01-18 03:35:36.000000000,Weather,270,Storm
1470,Mobile,2023-05-14 10:25:00,2.28,2023-05-14 12:41:48.000000000,Equipment Failure,945,High Wind
1471,Mobile,2024-03-01 21:27:00,9.25,2024-03-02 06:42:00.000000000,Maintenance,1807,Ice
1472,Huntsville,2023-01-25 01:03:00,6.98,2023-01-25 08:01:48.000000000,Wildlife,341,Heavy Rain
1473,Mobile,2024-05-17 08:10:00,4.69,2024-05-17 12:51:24.000000000,Equipment Failure,4220,Heavy Rain
1474,Birmingham,2023-07-04 00:40:00,1.57,2023-07-04 02:14:11.999999999,Wildlife,277,Heatwave
1475,Rural South,2023-03-26 21:59:00,2.49,2023-03-27 00:28:24.000000000,Weather,2069,Ice
1476,Mobile,2024-07-20 17:06:00,4.72,2024-07-20 21:49:12.000000000,Maintenance,82,High Wind
1477,Rural North,2023-05-24 15:12:00,0.96,2023-05-24 16:09:36.000000000,Weather,2931,Heatwave
1478,Mobile,2024-11-09 16:14:00,2.95,2024-11-09 19:11:00.000000000,Weather,2463,Heatwave
1479,Montgomery,2024-02-16 18:53:00,5.28,2024-02-17 00:09:48.000000000,Weather,3898,Heatwave
1480,Birmingham,2023-08-12 20:44:00,3.69,2023-08-13 00:25:24.000000000,Wildlife,187,Clear
1481,Montgomery,2023-08-08 23:13:00,1.96,2023-08-09 01:10:36.000000000,Other,2009,Clear
1482,Montgomery,2023-06-28 06:07:00,2.64,2023-06-28 08:45:24.000000000,Weather,781,Storm
1483,Rural North,2024-09-22 15:17:00,13.44,2024-09-23 04:43:24.000000000,Wildlife,955,High Wind
1484,Birmingham,2024-03-08 17:07:00,2.76,2024-03-08 19:52:36.000000000,Equipment Failure,4505,Heavy Rain
1485,Birmingham,2023-09-22 04:03:00,4.62,2023-09-22 08:40:12.000000000,Maintenance,279,Heavy Rain
1486,Birmingham,2024-03-04 15:01:00,3.89,2024-03-04 18:54:24.000000000,Weather,1865,Storm
1487,Birmingham,2024-10-23 02:45:00,3.63,2024-10-23 06:22:48.000000000,Equipment Failure,1665,Heavy Rain
1488,Birmingham,2024-02-20 17:29:00,3.78,2024-02-20 21:15:48.000000000,Weather,3762,Heatwave
1489,Rural North,2024-03-28 23:38:00,1.82,2024-03-29 01:27:12.000000000,Weather,2543,Storm
1490,Mobile,2024-12-27 17:20:00,1.93,2024-12-27 19:15:48.000000000,Equipment Failure,4164,Storm
1491,Montgomery,2023-07-16 12:07:00,1.89,2023-07-16 14:00:24.000000000,Wildlife,2699,Ice
1492,Birmingham,2024-07-07 18:35:00,0.1,2024-07-07 18:41:00.000000000,Equipment Failure,4992,Clear
1493,Mobile,2023-02-22 08:02:00,0.83,2023-02-22 08:51:48.000000000,Other,4371,High Wind
1494,Mobile,2024-04-24 09:02:00,0.5,2024-04-24 09:32:00.000000000,Wildlife,2132,High Wind
1495,Montgomery,2024-03-18 20:28:00,6.53,2024-03-19 02:59:48.000000000,Weather,3171,Clear
1496,Rural North,2023-11-26 15:30:00,0.96,2023-11-26 16:27:36.000000000,Weather,514,Heatwave
1497,Huntsville,2023-09-08 06:39:00,0.45,2023-09-08 07:06:00.000000000,Maintenance,2414,High Wind
1498,Huntsville,2023-05-03 20:30:00,0.38,2023-05-03 20:52:48.000000000,Other,2211,Heavy Rain
1499,Mobile,2024-01-22 10:18:00,3.61,2024-01-22 13:54:36.000000000,Other,3299,Heavy Rain
1500,Rural South,2023-12-05 19:29:00,0.02,2023-12-05 19:30:12.000000000,Maintenance,4591,High Wind
1501,Rural South,2023-12-14 14:38:00,1.91,2023-12-14 16:32:36.000000000,Equipment Failure,1163,Ice
1502,Montgomery,2023-01-29 01:40:00,0.38,2023-01-29 02:02:48.000000000,Maintenance,4171,High Wind
1503,Huntsville,2023-02-04 14:39:00,5.68,2023-02-04 20:19:48.000000000,Weather,2437,Storm
1504,Mobile,2024-06-01 13:49:00,9.54,2024-06-01 23:21:24.000000000,Weather,1346,Heatwave
1505,Rural North,2024-01-31 21:04:00,9.56,2024-02-01 06:37:36.000000000,Maintenance,416,Storm
1506,Huntsville,2024-09-14 12:38:00,1.75,2024-09-14 14:23:00.000000000,Wildlife,3488,Clear
1507,Mobile,2023-10-21 02:42:00,3.1,2023-10-21 05:48:00.000000000,Other,4054,Heatwave
1508,Mobile,2024-08-11 19:56:00,2.75,2024-08-11 22:41:00.000000000,Weather,286,Heatwave
1509,Birmingham,2023-12-15 08:21:00,1.29,2023-12-15 09:38:23.999999999,Maintenance,3490,Heavy Rain
1510,Rural North,2023-05-27 09:06:00,1.76,2023-05-27 10:51:36.000000000,Wildlife,2371,Heatwave
1511,Birmingham,2023-03-08 21:47:00,0.2,2023-03-08 21:59:00.000000000,Equipment Failure,2606,Ice
1512,Montgomery,2024-06-03 23:02:00,4.76,2024-06-04 03:47:36.000000000,Weather,1978,High Wind
1513,Birmingham,2023-05-02 06:20:00,0.83,2023-05-02 07:09:48.000000000,Equipment Failure,470,Storm
1514,Birmingham,2023-12-06 14:29:00,1.85,2023-12-06 16:20:00.000000000,Equipment Failure,2456,Heavy Rain
1515,Huntsville,2023-06-24 15:04:00,1.97,2023-06-24 17:02:12.000000000,Equipment Failure,3749,Heavy Rain
1516,Rural South,2024-11-21 19:46:00,2.47,2024-11-21 22:14:12.000000000,Equipment Failure,1592,Ice
1517,Mobile,2024-08-19 16:41:00,5.11,2024-08-19 21:47:36.000000000,Wildlife,3527,Ice
1518,Rural North,2024-03-26 10:08:00,3.53,2024-03-26 13:39:48.000000000,Weather,4812,Ice
1519,Birmingham,2024-07-10 05:06:00,3.26,2024-07-10 08:21:36.000000000,Weather,4208,Ice
1520,Rural North,2023-05-16 22:42:00,2.24,2023-05-17 00:56:24.000000000,Equipment Failure,2385,Storm
1521,Rural South,2023-01-16 00:54:00,0.3,2023-01-16 01:12:00.000000000,Weather,2749,Ice
1522,Rural South,2023-11-29 16:22:00,1.54,2023-11-29 17:54:24.000000000,Other,981,Heavy Rain
1523,Birmingham,2023-07-14 05:32:00,9.46,2023-07-14 14:59:36.000000000,Weather,1335,Heavy Rain
1524,Montgomery,2024-05-10 02:06:00,16.24,2024-05-10 18:20:24.000000000,Equipment Failure,162,Heatwave
1525,Birmingham,2023-01-09 11:44:00,3.93,2023-01-09 15:39:48.000000000,Wildlife,3618,High Wind
1526,Huntsville,2023-11-30 04:02:00,0.77,2023-11-30 04:48:12.000000000,Weather,3970,Heavy Rain
1527,Mobile,2023-11-29 09:59:00,0.32,2023-11-29 10:18:12.000000000,Wildlife,3116,Heavy Rain
1528,Montgomery,2023-11-23 23:52:00,1.61,2023-11-24 01:28:36.000000000,Equipment Failure,3096,Storm
1529,Birmingham,2023-01-15 08:22:00,5.83,2023-01-15 14:11:48.000000000,Weather,739,Heatwave
1530,Rural North,2024-09-05 10:03:00,3.84,2024-09-05 13:53:24.000000000,Other,3977,Heavy Rain
1531,Montgomery,2023-08-14 05:02:00,6.46,2023-08-14 11:29:36.000000000,Weather,4179,Clear
1532,Montgomery,2024-02-29 03:54:00,2.87,2024-02-29 06:46:12.000000000,Equipment Failure,4961,Heavy Rain
1533,Birmingham,2024-02-12 17:41:00,0.42,2024-02-12 18:06:12.000000000,Weather,4012,High Wind
1534,Montgomery,2023-04-23 02:18:00,0.37,2023-04-23 02:40:12.000000000,Weather,2342,High Wind
1535,Rural North,2024-03-03 03:14:00,0.15,2024-03-03 03:23:00.000000000,Wildlife,1583,Heatwave
1536,Rural South,2023-01-01 10:46:00,2.51,2023-01-01 13:16:36.000000000,Maintenance,3278,Heatwave
1537,Montgomery,2023-09-23 00:00:00,0.83,2023-09-23 00:49:48.000000000,Weather,4385,Ice
1538,Rural South,2024-05-05 09:20:00,3.98,2024-05-05 13:18:48.000000000,Equipment Failure,4892,Storm
1539,Rural North,2023-07-27 18:39:00,3.48,2023-07-27 22:07:48.000000000,Maintenance,695,High Wind
1540,Birmingham,2024-09-13 11:52:00,1.15,2024-09-13 13:01:00.000000000,Wildlife,3898,Clear
1541,Mobile,2024-12-12 06:52:00,0.58,2024-12-12 07:26:47.999999999,Equipment Failure,1589,Clear
1542,Montgomery,2024-01-04 08:57:00,0.32,2024-01-04 09:16:12.000000000,Wildlife,978,Ice
1543,Mobile,2023-11-02 07:08:00,4.01,2023-11-02 11:08:36.000000000,Equipment Failure,3747,Storm
1544,Rural North,2023-01-12 03:54:00,1.8,2023-01-12 05:42:00.000000000,Maintenance,2043,Storm
1545,Montgomery,2023-12-11 05:48:00,1.17,2023-12-11 06:58:12.000000000,Other,777,Heatwave
1546,Rural South,2024-04-09 06:35:00,5.83,2024-04-09 12:24:48.000000000,Weather,655,Heavy Rain
1547,Huntsville,2024-11-30 22:54:00,2.7,2024-12-01 01:36:00.000000000,Weather,4131,Clear
1548,Mobile,2024-10-27 06:55:00,2.19,2024-10-27 09:06:24.000000000,Weather,1089,Clear
1549,Montgomery,2024-05-08 15:15:00,4.08,2024-05-08 19:19:48.000000000,Weather,646,Clear
1550,Mobile,2024-01-03 17:54:00,5.07,2024-01-03 22:58:12.000000000,Weather,4335,Clear
1551,Montgomery,2024-02-24 01:20:00,3.48,2024-02-24 04:48:48.000000000,Maintenance,2110,High Wind
1552,Birmingham,2023-06-20 00:35:00,1.74,2023-06-20 02:19:24.000000000,Equipment Failure,110,Storm
1553,Rural South,2023-05-14 18:10:00,1.43,2023-05-14 19:35:48.000000000,Weather,3927,Heavy Rain
1554,Mobile,2024-03-02 10:40:00,4.43,2024-03-02 15:05:48.000000000,Weather,4909,High Wind
1555,Huntsville,2023-01-25 14:41:00,2.19,2023-01-25 16:52:24.000000000,Weather,878,Storm
1556,Huntsville,2024-06-13 12:36:00,3.66,2024-06-13 16:15:36.000000000,Equipment Failure,4107,Ice
1557,Rural North,2023-07-09 10:22:00,6.63,2023-07-09 16:59:48.000000000,Equipment Failure,31,Clear
1558,Montgomery,2023-05-21 07:47:00,7.43,2023-05-21 15:12:48.000000000,Weather,2635,Heavy Rain
1559,Mobile,2024-07-08 19:25:00,0.98,2024-07-08 20:23:48.000000000,Other,1913,Storm
1560,Rural North,2024-10-19 05:55:00,0.62,2024-10-19 06:32:12.000000000,Equipment Failure,2586,Ice
1561,Mobile,2023-11-11 11:48:00,0.91,2023-11-11 12:42:36.000000000,Other,4119,Clear
1562,Montgomery,2024-03-19 16:59:00,4.18,2024-03-19 21:09:48.000000000,Weather,4624,Ice
1563,Huntsville,2023-11-15 15:01:00,1.39,2023-11-15 16:24:24.000000000,Maintenance,3303,Ice
1564,Birmingham,2024-03-16 11:12:00,0.57,2024-03-16 11:46:11.999999999,Equipment Failure,1945,High Wind
1565,Huntsville,2023-04-02 07:18:00,0.31,2023-04-02 07:36:36.000000000,Wildlife,625,Ice
1566,Rural North,2023-06-28 08:50:00,1.19,2023-06-28 10:01:24.000000000,Equipment Failure,2460,High Wind
1567,Rural South,2023-02-25 02:06:00,0.44,2023-02-25 02:32:24.000000000,Other,3594,Heatwave
1568,Birmingham,2023-06-04 03:24:00,0.51,2023-06-04 03:54:36.000000000,Equipment Failure,296,High Wind
1569,Rural North,2024-11-02 00:28:00,3.45,2024-11-02 03:55:00.000000000,Maintenance,3328,Ice
1570,Montgomery,2023-04-21 07:24:00,0.06,2023-04-21 07:27:36.000000000,Wildlife,1933,Storm
1571,Birmingham,2023-05-17 16:05:00,0.38,2023-05-17 16:27:48.000000000,Maintenance,4931,Ice
1572,Rural North,2023-08-20 07:43:00,5.58,2023-08-20 13:17:47.999999999,Equipment Failure,2783,Ice
1573,Montgomery,2024-04-12 21:43:00,5.59,2024-04-13 03:18:24.000000000,Weather,2100,Storm
1574,Huntsville,2024-04-25 02:30:00,1.2,2024-04-25 03:42:00.000000000,Wildlife,2811,Clear
1575,Rural South,2023-03-09 03:59:00,0.28,2023-03-09 04:15:48.000000000,Equipment Failure,1002,Heavy Rain
1576,Montgomery,2023-09-06 04:25:00,3.66,2023-09-06 08:04:36.000000000,Equipment Failure,1594,Heatwave
1577,Mobile,2023-11-19 18:48:00,1.34,2023-11-19 20:08:24.000000000,Weather,1913,Clear
1578,Montgomery,2024-06-01 15:12:00,0.14,2024-06-01 15:20:24.000000000,Equipment Failure,885,Ice
1579,Montgomery,2024-03-07 08:16:00,0.52,2024-03-07 08:47:12.000000000,Maintenance,4839,Clear
1580,Rural South,2024-05-01 11:24:00,0.44,2024-05-01 11:50:24.000000000,Equipment Failure,1895,Heavy Rain
1581,Mobile,2024-08-28 02:37:00,2.67,2024-08-28 05:17:12.000000000,Equipment Failure,153,Clear
1582,Rural North,2024-03-04 02:51:00,6.85,2024-03-04 09:42:00.000000000,Weather,2266,Heavy Rain
1583,Rural North,2023-09-26 08:13:00,4.73,2023-09-26 12:56:48.000000000,Weather,1132,Clear
1584,Montgomery,2024-12-09 16:09:00,2.37,2024-12-09 18:31:12.000000000,Maintenance,709,High Wind
1585,Mobile,2024-06-20 22:14:00,1.65,2024-06-20 23:53:00.000000000,Weather,4219,Ice
1586,Mobile,2023-05-28 23:46:00,2.89,2023-05-29 02:39:24.000000000,Equipment Failure,280,Heavy Rain
1587,Rural South,2023-04-28 11:15:00,1.76,2023-04-28 13:00:36.000000000,Equipment Failure,72,Heatwave
1588,Huntsville,2024-01-02 10:58:00,0.85,2024-01-02 11:49:00.000000000,Other,1017,Ice
1589,Rural North,2023-03-07 15:02:00,3.41,2023-03-07 18:26:36.000000000,Weather,2853,High Wind
1590,Rural South,2024-01-05 11:05:00,6.2,2024-01-05 17:17:00.000000000,Weather,2282,Clear
1591,Birmingham,2023-06-24 06:06:00,1.4,2023-06-24 07:30:00.000000000,Equipment Failure,1992,Ice
1592,Rural North,2024-08-10 09:09:00,5.53,2024-08-10 14:40:48.000000000,Equipment Failure,2438,Clear
1593,Rural South,2024-05-09 10:42:00,1.69,2024-05-09 12:23:24.000000000,Weather,3734,Clear
1594,Rural North,2023-04-24 04:14:00,1.54,2023-04-24 05:46:24.000000000,Wildlife,4423,Ice
1595,Huntsville,2023-04-21 03:27:00,0.09,2023-04-21 03:32:24.000000000,Equipment Failure,2765,Heavy Rain
1596,Birmingham,2024-03-14 07:29:00,3.57,2024-03-14 11:03:11.999999999,Weather,3744,Heavy Rain
1597,Huntsville,2024-12-15 01:34:00,4.94,2024-12-15 06:30:24.000000000,Weather,1302,Ice
1598,Birmingham,2023-05-27 13:58:00,3.27,2023-05-27 17:14:12.000000000,Wildlife,4519,Heavy Rain
1599,Montgomery,2023-02-04 07:57:00,0.49,2023-02-04 08:26:24.000000000,Weather,4330,Storm
1600,Rural South,2023-11-05 11:22:00,0.33,2023-11-05 11:41:48.000000000,Weather,1187,Clear
1601,Birmingham,2024-06-21 12:41:00,2.55,2024-06-21 15:14:00.000000000,Weather,4726,Ice
1602,Huntsville,2023-01-14 03:09:00,1.54,2023-01-14 04:41:24.000000000,Equipment Failure,2630,Heatwave
1603,Rural North,2024-01-09 11:50:00,1.68,2024-01-09 13:30:48.000000000,Wildlife,2546,High Wind
1604,Birmingham,2024-07-10 12:35:00,10.31,2024-07-10 22:53:36.000000000,Weather,1978,Ice
1605,Rural South,2024-03-03 13:55:00,3.86,2024-03-03 17:46:36.000000000,Weather,1205,Ice
